station,layer,module,xshift,yshift,zshift
0,0,0,-0.659,1.325,27.504
0,0,1,-0.668,1.007,27.552
0,0,2,-0.672,0.893,27.012
0,0,3,-0.621,0.562,27.058
0,0,4,-1.053,1.201,28.822
0,0,5,-0.994,1.172,28.158
0,0,6,-1.024,0.779,28.282
0,0,7,-0.979,0.795,27.728
0,1,0,-0.831,1.127,27.486
0,1,1,-0.833,0.759,27.613
0,1,2,-0.878,0.718,27.035
0,1,3,-0.792,0.348,27.102
0,1,4,-1.204,1.008,28.846
0,1,5,-1.17,0.713,28.183
0,1,6,-1.245,0.594,28.31
0,1,7,-1.141,0.572,27.689
0,2,0,-0.949,0.793,27.52
0,2,1,-0.92,0.476,27.614
0,2,2,-0.929,0.427,26.973
0,2,3,-0.907,0.08,27.071
0,2,4,-1.371,0.661,28.816
0,2,5,-1.195,0.633,28.156
0,2,6,-1.331,0.341,28.274
0,2,7,-1.198,0.257,27.669
1,0,0,-0.4189105,-0.477,-0.37
1,0,1,-0.2921905,-0.436,0.074
1,0,2,-0.2309455,-0.198,-0.376
1,0,3,-0.2249405,-0.124,0.049
1,0,4,0.3609745,-0.532,0.158
1,0,5,-0.0947615,-0.329,-0.364
1,0,6,-0.03921558,-0.315,0.211
1,0,7,-0.083729,-0.055,-0.282
1,1,0,-0.1913307,-0.46,-0.447
1,1,1,-0.1316387,-0.445,-0.008
1,1,2,-0.1053547,-0.203,-0.381
1,1,3,-0.1414107,-0.246,0.045
1,1,4,0.2742613,-0.547,0.11
1,1,5,0.0883197,-0.551,-0.288
1,1,6,0.0614021,-0.279,0.141
1,1,7,0.0163625,-0.102,-0.243
1,2,0,-0.2375155,-0.433,-0.412
1,2,1,-0.0504855,-0.448,0.012
1,2,2,-0.1673555,-0.23,-0.321
1,2,3,-0.3353955,-0.157,0.02
1,2,4,0.0947355,-0.565,0.163
1,2,5,0.1902745,-0.389,-0.337
1,2,6,0.0939205,-0.318,0.178
1,2,7,0.1988765,-0.1,-0.234
2,0,0,-0.145148,-0.08,-0.204
2,0,1,-0.232491,-0.09,0.195
2,0,2,-0.511626,-0.046,-0.175
2,0,3,-0.1712265,-0.061,0.177
2,0,4,-0.356352,-0.033,0.319
2,0,5,-0.0129405,-0.075,-0.098
2,0,6,-0.471847,0.032,0.271
2,0,7,-0.0178805,0.075,-0.156
2,1,0,-0.1552995,-0.046,-0.19
2,1,1,-0.235355,-0.095,0.178
2,1,2,-0.1854715,0.029,-0.19
2,1,3,-0.1757095,-0.014,0.152
2,1,4,-0.1709745,-0.142,0.25
2,1,5,-0.1288335,-0.223,-0.122
2,1,6,-0.228549,-0.109,0.234
2,1,7,-0.179292,-0.056,-0.091
2,2,0,0.1700625,-0.11,-0.172
2,2,1,0.2580355,-0.121,0.156
2,2,2,-0.0177218,-0.031,-0.143
2,2,3,0.2973675,-0.041,0.177
2,2,4,0.1167715,-0.2,0.301
2,2,5,0.083699,-0.045,-0.081
2,2,6,0.2798345,-0.094,0.259
2,2,7,0.086959,0.018,-0.106
3,0,0,0.299291,0.642,-0.162
3,0,1,0.154305,0.439,0.211
3,0,2,0.22168,0.307,-0.062
3,0,3,0.13726,0.096,0.215
3,0,4,-0.092294,0.547,0.287
3,0,5,0.0319995,0.554,-0.039
3,0,6,-0.08432,0.33,0.324
3,0,7,0.0568225,0.258,-0.013
3,1,0,-0.1080422,0.513,-0.093
3,1,1,0.097106,0.393,0.209
3,1,2,-0.0125858,0.384,-0.128
3,1,3,0.068418,0.067,0.199
3,1,4,-0.227902,0.511,0.277
3,1,5,-0.236046,0.311,-0.083
3,1,6,-0.333806,0.306,0.358
3,1,7,-0.377874,0.265,0.067
3,2,0,0.40682,0.605,-0.179
3,2,1,0.213335,0.425,0.165
3,2,2,0.54305,0.39,-0.091
3,2,3,0.21216,0.13,0.183
3,2,4,0.2014475,0.453,0.26
3,2,5,0.057268,0.497,-0.096
3,2,6,0.116791,0.228,0.328
3,2,7,0.120034,0.248,-0.054
