station,layer,module,xshift,yshift,zshift
0,0,0,-0.144914,0.0720804,0
0,0,1,0.0161348,0.0720804,0
0,0,2,0.0233558,0.0720804,0
0,0,3,0.181654,0.0720804,0
0,0,4,0.182424,0.0720804,0
0,0,5,0.26956,0.0720804,0
0,0,6,0.22621,0.0720804,0
0,0,7,0.0493057,0.0720804,0
0,1,0,-0.13681,-0.0741581,0
0,1,1,0.01691,-0.0741581,0
0,1,2,-0.0205233,-0.0741581,0
0,1,3,0.170659,-0.0741581,0
0,1,4,0.220123,-0.0741581,0
0,1,5,-0.240122,-0.0741581,0
0,1,6,0.197696,-0.0741581,0
0,1,7,0.0943144,-0.0741581,0
0,2,0,-0.132857,-0.192755,0
0,2,1,0.0222645,-0.192755,0
0,2,2,0.018405,-0.192755,0
0,2,3,0.163892,-0.192755,0
0,2,4,0.137449,-0.192755,0
0,2,5,-0.171259,-0.192755,0
0,2,6,0.185595,-0.192755,0
0,2,7,0.099214,-0.192755,0
1,0,0,0.00052133,0.0234198,0
1,0,1,0.00821093,0.0234198,0
1,0,2,0.0309129,0.0234198,0
1,0,3,0.0216843,0.0234198,0
1,0,4,-0.037353,0.0234198,0
1,0,5,-0.0836906,0.0234198,0
1,0,6,-0.0202954,0.0234198,0
1,0,7,-0.0644707,0.0234198,0
1,1,0,-0.0227199,0.0106406,0
1,1,1,0.053272,0.0106406,0
1,1,2,-0.0546212,0.0106406,0
1,1,3,0.0857811,0.0106406,0
1,1,4,0.014949,0.0106406,0
1,1,5,0.00943274,0.0106406,0
1,1,6,-0.00842678,0.0106406,0
1,1,7,0.0575695,0.0106406,0
1,2,0,-0.0171257,-0.00794911,0
1,2,1,-0.0060935,-0.00794911,0
1,2,2,-0.0179666,-0.00794911,0
1,2,3,0.0198342,-0.00794911,0
1,2,4,-0.0409495,-0.00794911,0
1,2,5,0.0603558,-0.00794911,0
1,2,6,-0.0390986,-0.00794911,0
1,2,7,0.0727565,-0.00794911,0
2,0,0,0.0806456,-0.0155897,0
2,0,1,-0.0131007,-0.0155897,0
2,0,2,0.0271627,-0.0155897,0
2,0,3,-0.012529,-0.0155897,0
2,0,4,-0.0797627,-0.0155897,0
2,0,5,0.0612057,-0.0155897,0
2,0,6,-0.0365001,-0.0155897,0
2,0,7,0.0336937,-0.0155897,0
2,1,0,0.0280822,0.0148076,0
2,1,1,-0.047982,0.0148076,0
2,1,2,-0.00864398,0.0148076,0
2,1,3,-0.048743,0.0148076,0
2,1,4,-0.00645122,0.0148076,0
2,1,5,0.0899432,0.0148076,0
2,1,6,0.0169285,0.0148076,0
2,1,7,0.064453,0.0148076,0
2,2,0,0.00659845,0.0261497,0
2,2,1,-0.0389864,0.0261497,0
2,2,2,-0.00230385,0.0261497,0
2,2,3,-0.00932597,0.0261497,0
2,2,4,-0.00983378,0.0261497,0
2,2,5,0.049766,0.0261497,0
2,2,6,-0.018305,0.0261497,0
2,2,7,0.0160603,0.0261497,0
3,0,0,0.0581625,-0.0540061,0
3,0,1,0.159877,-0.0540061,0
3,0,2,0.15621,-0.0540061,0
3,0,3,0.160343,-0.0540061,0
3,0,4,-0.0194937,-0.0540061,0
3,0,5,-0.0201233,-0.0540061,0
3,0,6,-0.0212476,-0.0540061,0
3,0,7,0.00785769,-0.0540061,0
3,1,0,0.0295062,-0.00307938,0
3,1,1,-0.0437633,-0.00307938,0
3,1,2,-0.0166572,-0.00307938,0
3,1,3,-0.00159317,-0.00307938,0
3,1,4,-0.04626,-0.00307938,0
3,1,5,0.00770638,-0.00307938,0
3,1,6,-0.0301607,-0.00307938,0
3,1,7,0.0737493,-0.00307938,0
3,2,0,-0.151038,0.0176367,0
3,2,1,-0.0115765,0.0176367,0
3,2,2,-0.13046,0.0176367,0
3,2,3,0.00462585,0.0176367,0
3,2,4,-0.0202929,0.0176367,0
3,2,5,-0.0153863,0.0176367,0
3,2,6,-0.0264971,0.0176367,0
3,2,7,0.0140846,0.0176367,0
